rank,College Name,Location,nces_id,state,address,phone_number,website,type,awards_offered,campus_housing,student_population,student_faculty_ratio,SAT Math,SAT R/W,Admission Rate,Admissions Deadline,Overall Grade,College Grade Card,Popular Majors,College Description,Avg Salary,Employment Rate,College Highlights
665,"California State University, Bakersfield",Bakersfield,,,,,,,,,,,,,,,B-,"Academics : C+,Value : B+,Diversity : A-,Campus : B-,Athletics : B+,Party Scene : B-,Professors : B,Location : C+,Dorms : Unavailable,Campus Food : B+,Student Life : B-,Safety : A-","Business,Liberal Arts and Humanities,Psychology,Criminal Justice and Safety Studies,Biology,Sociology,Physical Education Teaching and Coaching,Early Childhood Education,Nursing,Communications","Cal State Bakersfield is a public university located in Bakersfield, California. It is a mid-size institution with an enrollment of 8,452 undergraduate students. The Cal State Bakersfield acceptance rate is 81%. Popular majors include Business, Liberal Arts and Humanities, and Psychology. Graduating 43% of students, Cal State Bakersfield alumni go on to earn a starting salary of $36,400.","$47,800/ year
National avg salary is $33,028","89%
National is 83%","Most Liberal Colleges in America:306 of 849,Best College Athletics in America:333 of 1,422,Best College Food in America:381 of 1,392"
666,The University of the Arts,Philadelphia,215105.0,PA,320 South Broad St Philadelphia Pennsylvania 19102-4901,(800) 616-2787,www.uarts.edu/,4-year Private not-for-profit,Two but less than 4 years certificateBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarship,Yes,1530 (1380 undergraduate),9 to 1,,,,,,,,,,,
667,Texas Southern University,Houston,229063.0,TX,3100 Cleburne St Houston Texas 77004,(713) 313-7011,www.tsu.edu/,4-year Public,Bachelor's degreeMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,7015 (5298 undergraduate),14 to 1,,,,,C,"Academics : C,Value : C+,Diversity : B-,Campus : B-,Athletics : B+,Party Scene : A+,Professors : B,Location : B,Dorms : C,Campus Food : B+,Student Life : B,Safety : B-","Banking and Finance,Liberal Arts and Humanities,Biology,Business,Criminal Justice and Law Enforcement Administration,Healthcare Management,Psychology,Accounting,Marketing,Health Service Preparatory Studies","Texas Southern is a public university located in Houston, Texas. As a historically black college, TSU has a strong history of and commitment to the education of black Americans. It is a mid-size institution with an enrollment of 6,032 undergraduate students. The Texas Southern acceptance rate is 91%. Popular majors include Banking and Finance, Liberal Arts and Humanities, and Biology. Graduating 23% of students, Texas Southern alumni go on to earn a starting salary of $24,700.","$31,300/ year
National avg salary is $33,028","89%
National is 83%","Best Greek Life Colleges in America:59 of 824,Top Party Schools in America:67 of 1,612,Most Liberal Colleges in America:146 of 849"
668,South Dakota School of Mines and Technology,Rapid City,219347.0,SD,501 E Saint Joseph St Rapid City South Dakota 57701-3995,(605) 394-2511,www.sdsmt.edu/,4-year Public,Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarship,Yes,2475 (2146 undergraduate),13 to 1,,,,,A-,"Academics : A-,Value : A,Diversity : B,Campus : C+,Athletics : B-,Party Scene : B,Professors : A+,Location : B,Dorms : B-,Campus Food : C,Student Life : B,Safety : A-","Mechanical Engineering,Civil Engineering,Information Science,Industrial Engineering,Materials Engineering,Chemical Engineering,Engineering,Electrical Engineering,Geology and Earth Science,Liberal Arts and Humanities","South Dakota Mines is a highly rated public college located in Rapid City, South Dakota. It is a small institution with an enrollment of 1,870 undergraduate students. Admissions is somewhat competitive as the South Dakota Mines acceptance rate is 77%. Popular majors include Mechanical Engineering, Civil Engineering, and Information Science. Graduating 49% of students, South Dakota Mines alumni go on to earn a starting salary of $53,200.","$56,500/ year
National avg salary is $33,028","94%
National is 83%","Most Conservative Colleges in America:65 of 854,Best Small Colleges in America:70 of 1,014,Top Public Universities in America:71 of 691"
669,Kutztown University of Pennsylvania,Kutztown,213349.0,PA,15200 Kutztown Rd Kutztown Pennsylvania 19530-0730,(610) 683-4000,www.kutztown.edu/,4-year Public,Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - professional practice,Yes,7890 (6945 undergraduate),19 to 1,,,,,B-,"Academics : B-,Value : B-,Diversity : B+,Campus : B+,Athletics : B+,Party Scene : A,Professors : B,Location : B,Dorms : B,Campus Food : B,Student Life : A-,Safety : B-","Business,Communications,Psychology,Criminal Justice and Safety Studies,Commercial and Advertising Art,Social Work and Youth Services,Parks, Recreation and Leisure Studies,Early Childhood Education,Information Science,Special Education and Teaching","Kutztown is a public university located in Maxatawny Township, Pennsylvania. It is a mid-size institution with an enrollment of 6,458 undergraduate students. The Kutztown acceptance rate is 90%. Popular majors include Business, Communications, and Psychology. Graduating 54% of students, Kutztown alumni go on to earn a starting salary of $32,800.","$41,600/ year
National avg salary is $33,028","95%
National is 83%","Best Greek Life Colleges in America:168 of 824,Best Colleges for Sports Management in America:189 of 435,Top Party Schools in America:198 of 1,612"
670,Augustana College,Rock Island,143084.0,IL,639 38th St Rock Island Illinois 61201-2296,(309) 794-7000,www.augustana.edu/,4-year Private not-for-profit,Bachelor's degreeMaster's degree,Yes,2389 (2377 undergraduate),11 to 1,550-640,540-640,57%,November 1,A-,"Academics : A-,Value : A-,Diversity : A-,Campus : B+,Athletics : B-,Party Scene : A,Professors : A-,Location : C+,Dorms : B,Campus Food : A,Student Life : A-,Safety : C","Business,Biology,Communications,Psychology,Accounting,Communication Disorders,Environmental Science,Political Science and Government,Spanish Language and Literature,Sociology","You'll arrive at Augustana College, curious and full of promise, and then see your potential grow and transform you into your best and brightest. ","$52,000/ year
National avg salary is $33,028","96%
National is 83%","Best Christian Colleges in America:36 of 364,Best Colleges with No Application Fee in America:55 of 637,Best Liberal Arts Colleges in America:69 of 210"
671,New York Law School,New York City,,,,,,,,,,,,,,,,,,,,,
672,Salem State University,Salem,167729.0,MA,352 Lafayette St Salem Massachusetts 01970,(978) 542-6000,www.salemstate.edu/,4-year Public,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificate,Yes,7242 (5716 undergraduate),14 to 1,500-560,500-590,87%,,C+,"Academics : C,Value : B,Diversity : A-,Campus : C-,Athletics : C,Party Scene : B,Professors : C+,Location : B+,Dorms : C,Campus Food : C-,Student Life : C,Safety : B","Psychology,Nursing,Accounting,Business,Biomedical Sciences and Molecular Medicine,Early Childhood Education,Marketing,Criminal Justice and Law Enforcement Administration,Social Work and Youth Services,Finance","Salem State is a public university located in Salem, Massachusetts in the Boston Area. It is a small institution with an enrollment of 4,997 undergraduate students. The Salem State acceptance rate is 86%. Popular majors include Psychology, Nursing, and Accounting. Graduating 57% of students, Salem State alumni go on to earn a starting salary of $36,200.","$43,500/ year
National avg salary is $33,028","94%
National is 83%","Best College Locations in America:404 of 1,634,Most Diverse Colleges in America:636 of 1,616,Top Party Schools in America:720 of 1,612"
673,The College of St. Scholastica,Duluth ,,,,,,,,,,,,,,,B+,"Academics : B,Value : A,Diversity : B,Campus : B+,Athletics : B-,Party Scene : B+,Professors : B-,Location : A-,Dorms : B-,Campus Food : B-,Student Life : A-,Safety : B+","Nursing,Social Work and Youth Services,Psychology,Business,Medical Records Administration,Elementary Education,Biology,Exercise Physiology,Organizational Behavior Studies,Information Science","St. Scholastica's main campus is in Duluth, Minnesota, on 186 acres of beautiful, forested land overlooking Lake Superior. In addition to our undergraduate and graduate programs for traditional and nontraditional students, the College offers international study and travel, community service opportunities, varsity an intramural sports and more than 65 student clubs and organizations.","$51,400/ year
National avg salary is $33,028","95%
National is 83%","Best Colleges for Nursing in America:43 of 726,Best Catholic Colleges in America:52 of 164,Best Colleges for Public Policy in America:118 of 623"
674,Fayetteville State University,Fayetteville,198543.0,NC,1200 Murchison Rd Fayetteville North Carolina 28301-4298,(910) 672-1111,www.uncfsu.edu/,4-year Public,Bachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarship,Yes,6726 (5661 undergraduate),17 to 1,,,,,B-,"Academics : B-,Value : C+,Diversity : B+,Campus : C+,Athletics : B,Party Scene : B+,Professors : A-,Location : C+,Dorms : C,Campus Food : A-,Student Life : B-,Safety : C+","Nursing,Psychology,Business,Criminal Justice and Safety Studies,Biology,Social Work and Youth Services,Liberal Arts and Humanities,Sociology,Fire Protection and Prevention,Healthcare Management","Fayetteville State is a public university located in Fayetteville, North Carolina. As a historically black college, Fayetteville has a strong history of and commitment to the education of black Americans. It is a small institution with an enrollment of 4,071 undergraduate students. Admissions is somewhat competitive as the Fayetteville State acceptance rate is 69%. Popular majors include Nursing, Psychology, and Business. Graduating 34% of students, Fayetteville State alumni go on to earn a starting salary of $24,800.","$31,200/ year
National avg salary is $33,028","88%
National is 83%","Most Liberal Colleges in America:18 of 849,Best College Food in America:227 of 1,392,Colleges with the Best Professors in America:282 of 1,624"
675,The University of Tennessee Health Science Center,Memphis,487010.0,TN,Memphis Tennessee 38163,(901) 448-5500,www.uthsc.edu/,4-year Public,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,No,3181 (218 undergraduate),7 to 1,,,,,,,,,,,
676,Northeastern State University,Tahlequah,207263.0,OK,600 N Grand Tahlequah Oklahoma 74464-2399,(918) 456-5511,www.nsuok.edu/,4-year Public,Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - professional practice,Yes,7349 (6004 undergraduate),17 to 1,,,,,B-,"Academics : B-,Value : B-,Diversity : A-,Campus : B,Athletics : B+,Party Scene : B,Professors : B+,Location : B,Dorms : C+,Campus Food : A-,Student Life : B,Safety : B+","Research and Experimental Psychology,Liberal Arts and Humanities,Criminal Justice and Law Enforcement Administration,Accounting,Nursing,Kinesiology and Exercise Science,Occupational Safety and Health Technician,Elementary Education,Social Work and Youth Services,Business","Northeastern State is a public university located in Tahlequah, Oklahoma. It is a small institution with an enrollment of 4,341 undergraduate students. The Northeastern State acceptance rate is 100%. Popular majors include Research and Experimental Psychology, Liberal Arts and Humanities, and Criminal Justice and Law Enforcement Administration. Graduating 33% of students, Northeastern State alumni go on to earn a starting salary of $31,800.","$35,800/ year
National avg salary is $33,028","88%
National is 83%","Best College Food in America:265 of 1,392,Best College Athletics in America:282 of 1,422,Colleges with the Best Professors in America:350 of 1,624"
677,State University of New York College at Plattsburgh,Plattsburgh ,,,,,,,,,,,,,,,,,,,,,
678,Uniformed Services University of the Health Sciences,Bethesda,,,,,,,,,,,,,,,,,,,,,
679,University of Houston-Downtown,Houston,225432.0,TX,1 Main Street Houston Texas 77002-1014,(713) 221-8000,www.uhd.edu/,4-year Public,Bachelor's degreePostbaccalaureate certificateMaster's degree,No,15239 (13663 undergraduate),20 to 1,,,,,,,,,,,
680,Jacksonville State University,Jacksonville,101480.0,AL,700 Pelham Road North Jacksonville Alabama 36265,(256) 782-5781,www.jsu.edu/,4-year Public,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - professional practiceDoctor's degree - other,Yes,9238 (7747 undergraduate),21 to 1,,,,,B,"Academics : B+,Value : B,Diversity : B+,Campus : A-,Athletics : A-,Party Scene : A-,Professors : B+,Location : B-,Dorms : B+,Campus Food : A+,Student Life : A-,Safety : B","Nursing,Liberal Arts and Humanities,Elementary Education,Business,Criminal Justice and Safety Studies,Biology,Social Work and Youth Services,Communications,Marketing,Foods, Nutrition, and Wellness Studies","Jacksonville State is an above-average public university located in Jacksonville, Alabama. It is a mid-size institution with an enrollment of 5,942 undergraduate students. Admissions is fairly competitive as the Jacksonville State acceptance rate is 55%. Popular majors include Nursing, Liberal Arts and Humanities, and Elementary Education. Graduating 41% of students, Jacksonville State alumni go on to earn a starting salary of $28,700.","$35,800/ year
National avg salary is $33,028","91%
National is 83%","Best College Food in America:44 of 1,392,Best Colleges for Education in America:62 of 921,Best Colleges for Nursing in America:77 of 726"
681,Ramapo College of New Jersey,Mahwah,186201.0,NJ,505 Ramapo Valley Rd Mahwah New Jersey 07430-1680,(201) 684-7500 x7500,www.ramapo.edu/,4-year Public,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - professional practice,Yes,6042 (5412 undergraduate),16 to 1,520-610,510-610,67%,December 15,B,"Academics : B,Value : A-,Diversity : A-,Campus : B,Athletics : B-,Party Scene : C,Professors : B,Location : C,Dorms : A+,Campus Food : B-,Student Life : C+,Safety : B","Business,Nursing Science, Education, and Practice,Psychology,Communications,Biology,Social Science Research Methods,Social Work and Youth Services,Accounting,Information Science,Multimedia","As the states premier public liberal arts college, Ramapo College of New Jersey believes success comes from learning, thinking, and living boldly. We want to awaken your curiosity with our commitment to academic excellence through interdisciplinary and experiential learning, and international and intercultural understanding, with an emphasis on collaborative teaching and individual student attention. ","$53,200/ year
National avg salary is $33,028","94%
National is 83%","Most Liberal Colleges in America:8 of 849,Best College Dorms in America:29 of 1,392,Best Colleges for Public Policy in America:226 of 623"
682,Colorado Technical University,Colorado Springs ,,,,,,,,,,,,,,,C+,"Academics : C,Value : C-,Diversity : B+,Campus : A,Athletics : Unavailable,Party Scene : B,Professors : C+,Location : B+,Dorms : Unavailable,Campus Food : Unavailable,Student Life : A,Safety : A","Business,Criminal Justice and Law Enforcement Administration,Information Technology,Accounting,Healthcare Management,Nursing,Computer and Information Systems Security,Medical Office Assistant,Computer Science,Electrical Engineering","Colorado Tech is a for-profit university located in Colorado Springs, Colorado. It is a large institution with an enrollment of 15,272 undergraduate students. The Colorado Tech acceptance rate is 100%. Popular majors include Business, Criminal Justice and Law Enforcement Administration, and Information Technology. Graduating 26% of students, Colorado Tech alumni go on to earn a starting salary of $27,900.","$42,200/ year
National avg salary is $33,028","77%
National is 83%","Safest College Campuses in America:74 of 1,387,Best Colleges for Business in America:171 of 1,223,Colleges with the Best Student Life in America:201 of 1,612"
683,Ohio Northern University,Ada,204635.0,OH,525 S. Main St Ada Ohio 45810-1599,(419) 772-2000,www.onu.edu/,4-year Private not-for-profit,Two but less than 4 years certificateBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - professional practice,Yes,2817 (2130 undergraduate),11 to 1,,,,,A-,"Academics : B+,Value : A,Diversity : B+,Campus : C+,Athletics : B-,Party Scene : B-,Professors : B+,Location : C,Dorms : B,Campus Food : C-,Student Life : B,Safety : B+","Mechanical Engineering,Civil Engineering,Accounting,Criminal Justice and Safety Studies,Construction Management,Healthcare Management,Nursing,Marketing,Biology,Management Sciences and Information Systems","Ohio Northern is a highly rated private, Christian university located in Ada, Ohio. It is a small institution with an enrollment of 2,095 undergraduate students. Admissions is somewhat competitive as the Ohio Northern acceptance rate is 70%. Popular majors include Mechanical Engineering, Civil Engineering, and Accounting. Graduating 77% of students, Ohio Northern alumni go on to earn a starting salary of $51,400.","$63,500/ year
National avg salary is $33,028","97%
National is 83%","Best Christian Colleges in America:30 of 364,Best Colleges for Criminal Justice in America:36 of 666,Best Colleges with No Application Fee in America:43 of 637"
684,University of Bridgeport,Bridgeport ,128744.0,CT,126 Park Avenue Bridgeport Connecticut 06604-5620,(203) 576-4000,www.bridgeport.edu/,4-year Private not-for-profit,Less than one year certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,4155 (2350 undergraduate),16 to 1,,,,,C+,"Academics : B-,Value : B-,Diversity : A+,Campus : D+,Athletics : B+,Party Scene : B-,Professors : C+,Location : C-,Dorms : C-,Campus Food : C,Student Life : C,Safety : B","Liberal Arts and Humanities,Dental Hygiene,Psychology,Health Professions,Human Services,Finance,Business,Nursing,Electrical Engineering,Biology","Bridgeport is a private university located in Bridgeport, Connecticut in the New York City Area. It is a small institution with an enrollment of 2,132 undergraduate students. Admissions is fairly competitive as the Bridgeport acceptance rate is 55%. Popular majors include Liberal Arts and Humanities, Dental Hygiene, and Psychology. Graduating 45% of students, Bridgeport alumni go on to earn a starting salary of $32,300.","$43,100/ year
National avg salary is $33,028","91%
National is 83%","Most Diverse Colleges in America:82 of 1,616,Best Colleges for Design in America:153 of 419,Best Colleges for Public Policy in America:255 of 623"
685,University of Central Missouri,Warrensburg,176965.0,MO,108 W South Street Warrensburg Missouri 64093,(660) 543-4111,www.ucmo.edu/,4-year Public,Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificate,Yes,9959 (7629 undergraduate),15 to 1,,,,,B,"Academics : B,Value : B,Diversity : A-,Campus : B,Athletics : A,Party Scene : A,Professors : B,Location : B-,Dorms : B,Campus Food : B,Student Life : A-,Safety : B","Nursing,Criminal Justice and Law Enforcement Administration,Elementary Education,Liberal Arts and Humanities,Research and Experimental Psychology,Occupational Safety and Health Technician,Education,Manufacturing Engineering Technician,Marketing,High School Education","The University of Central Missouri (UCM) is an award-winning four-year public school located in Warrensburg, Missouri. UCM is home to approximately 10,000 students, and we are the proud alma mater of over 100,000 living alumni - which means you cant go far without running into a fellow Mule! Since 1871, UCM has provided students with the knowledge, skills and confidence they need to succeed in their careers.","$38,000/ year
National avg salary is $33,028","94%
National is 83%","Best College Athletics in America:66 of 1,422,Most Conservative Colleges in America:94 of 854,Best Colleges for Student Athletes in America:169 of 1,400"
686,University of Mary Hardin-Baylor,Belton,226471.0,TX,900 College St Belton Texas 76513-2599,(800) 727-8642,go.umhb.edu/,4-year Private not-for-profit,Bachelor's degreeMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,3876 (3379 undergraduate),17 to 1,,,,,B-,"Academics : C+,Value : B,Diversity : B+,Campus : A-,Athletics : A-,Party Scene : C,Professors : B-,Location : B,Dorms : A,Campus Food : B,Student Life : B,Safety : A-","Nursing,Clinical Psychology,Business,Kinesiology and Exercise Science,Accounting,Communications,Liberal Arts and Humanities,Marketing,Cellular Biology,Social Work and Youth Services",The University of Mary Hardin-Baylor is dedicated to Christian higher education.,"$44,200/ year
National avg salary is $33,028","93%
National is 83%","Best College Dorms in America:86 of 1,392,Best College Athletics in America:126 of 1,422,Best College Campuses in America:163 of 1,419"
687,Knox College,Galesburg ,146427.0,IL,2 E South St Galesburg Illinois 61401,(309) 341-7000,www.knox.edu/,4-year Private not-for-profit,Bachelor's degree,Yes,1154 (all undergraduate),10 to 1,540-660,540-660,71%,November 1,B+,"Academics : B+,Value : A-,Diversity : A+,Campus : C,Athletics : C+,Party Scene : B+,Professors : B+,Location : C+,Dorms : C,Campus Food : C,Student Life : B,Safety : C+","Biology,Economics,Creative Writing,Sociology,Research and Experimental Psychology,Computer Science,Elementary Education,Political Science and Government,Biochemistry and Molecular Biology,Spanish Language and Literature","We're Knox College, a liberal arts college in the heart of the country that brings together an unusually diverse group of people to do uncommonly effective work. At Knox, you'll be immersed in an educational experience that will expose you to new worlds of thought. We're one of the 50 most diverse campuses in America, with 1,400 students from nearly every state and 51 countries, and we offer more than 60 courses of study. Our faculty are exceptionally talented and extremely approachablerecognized nationally for their commitment to undergraduate teaching. One of 40 Colleges That Change Lives!","$39,700/ year
National avg salary is $33,028","91%
National is 83%","Most Diverse Colleges in America:88 of 1,616,Best Colleges for English in America:102 of 890,Best Liberal Arts Colleges in America:106 of 210"
688,Carthage College,Kenosha,238476.0,WI,2001 Alford Park Dr Kenosha Wisconsin 53140-1994,(262) 551-8500,www.carthage.edu/,4-year Private not-for-profit,Bachelor's degreeMaster's degree,Yes,2763 (2637 undergraduate),13 to 1,,,,,B-,"Academics : B,Value : B,Diversity : A-,Campus : C+,Athletics : B,Party Scene : B+,Professors : B,Location : B-,Dorms : C-,Campus Food : C-,Student Life : B-,Safety : B-","Marketing,Business,Psychology,Communications,Finance,Biology,Elementary Education,Kinesiology and Exercise Science,Criminal Justice and Law Enforcement Administration,English","Founded in 1847, Carthage is located on the beautiful shore of Lake Michigan in Kenosha, Wisconsin, midway between Chicago and Milwaukee. Widely recognized for excellence, Carthage provides students with rare access to opportunities and facilities that cultivate the dynamic skills they need for life in a changing world.","$44,700/ year
National avg salary is $33,028","96%
National is 83%","Best Colleges for Design in America:138 of 419,Best Colleges for Business in America:240 of 1,223,Best Colleges for Kinesiology and Physical Therapy in America:246 of 585"
689,Brigham Young University-Hawaii,Laie,230047.0,HI,55-220 Kulanui Street Laie Hawaii 96762-1294,(808) 675-3211,www.byuh.edu/,4-year Private not-for-profit,One but less than two years certificateAssociate's degreeBachelor's degree,Yes,3180 (all undergraduate),16 to 1,,,,,,,,,,,
690,Mercy College,Dobbs Ferry,193016.0,NY,555 Broadway Dobbs Ferry New York 10522,(800) 637-2969,www.mercy.edu/,4-year Private not-for-profit,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - professional practice,Yes,9547 (7080 undergraduate),16 to 1,,,,,C+,"Academics : C,Value : B-,Diversity : A-,Campus : B,Athletics : B-,Party Scene : B-,Professors : C+,Location : B+,Dorms : B-,Campus Food : B,Student Life : B,Safety : A+","Business,Social Science Research Methods,Health Service Preparatory Studies,Psychology,Criminal Justice and Law Enforcement Administration,Accounting,Nursing,Communications,Social Work and Youth Services,Occupational Therapist Assistant","Mercy College believes that no matter where you're from, or what you look like, you deserve access to an education.  It is that mission that drives us in everything we do.  For us, being Open to Whoever You Are is not just a tagline, it is a way of life.","$39,700/ year
National avg salary is $33,028","87%
National is 83%","Safest College Campuses in America:40 of 1,387,Most Liberal Colleges in America:240 of 849,Best College Locations in America:430 of 1,634"
691,Bennington College,Bennington,230816.0,VT,One College Drive Bennington Vermont 05201-6003,(802) 442-5401,www.bennington.edu/,4-year Private not-for-profit,Associate's degreeBachelor's degreeMaster's degree,Yes,799 (697 undergraduate),8 to 1,580-670,660-730,60%,December 1,B,"Academics : B+,Value : B-,Diversity : A,Campus : B,Athletics : Unavailable,Party Scene : B,Professors : B+,Location : C-,Dorms : A,Campus Food : B-,Student Life : B,Safety : B","Visual and Performing Arts,Drama and Theatre Production,Literature,Music History and Literature,Public Policy Analysis,Film and Video Studies,Psychology,Animation, Video Graphics and Special Effects,Ceramics,Computer Science","Bennington is an above-average private college located in North Bennington, Vermont. It is a small institution with an enrollment of 686 undergraduate students. Admissions is somewhat competitive as the Bennington acceptance rate is 61%. Popular majors include Visual and Performing Arts, Drama and Theatre Production, and Literature. Graduating 76% of students, Bennington alumni go on to earn a starting salary of $24,100.","$29,500/ year
National avg salary is $33,028","90%
National is 83%","Most Liberal Colleges in America:32 of 849,Best College Dorms in America:53 of 1,392,Best Colleges for Film and Photography in America:86 of 278"
692,Winona State University,Winona,175272.0,MN,175 West Mark Street Winona Minnesota 55987-5838,(507) 457-5000,www.winona.edu/,4-year Public,Less than one year certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,7106 (6391 undergraduate),17 to 1,,,,,B,"Academics : B,Value : B+,Diversity : B+,Campus : B,Athletics : A-,Party Scene : A-,Professors : B,Location : B,Dorms : B+,Campus Food : B,Student Life : B+,Safety : B+","Nursing,Business,Elementary Education,Social Work and Youth Services,Kinesiology and Exercise Science,Psychology,Communications,Liberal Arts and Humanities,Biology,Marketing",Were a Community of Learners Improving Our World.,"$44,700/ year
National avg salary is $33,028","96%
National is 83%","Best Colleges for Sports Management in America:185 of 435,Best Colleges for Nursing in America:190 of 726,Best College Athletics in America:199 of 1,422"
693,Lipscomb University,Nashville,219976.0,TN,One University Park Drive Nashville Tennessee 37204-3951,(615) 966-1000,www.lipscomb.edu/,4-year Private not-for-profit,Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,4884 (2997 undergraduate),14 to 1,,,,,A-,"Academics : A-,Value : B+,Diversity : B+,Campus : B+,Athletics : B+,Party Scene : C,Professors : B,Location : A,Dorms : B,Campus Food : B+,Student Life : B+,Safety : A-","Psychology,Biology,Nursing,Human Resources,Business,Marketing,Professional and Technical Writing,Accounting,Liberal Arts and Humanities,Elementary Education","Located in Nashville, Tennessee, Lipscomb University is made up of more than 4,600 students from 45+ countries and nearly every state. Choose from over 200 areas of study in close-knit classroom settings with an average of 13 students per professor. Lipscomb is committed to providing exceptional academics with a foundation in the Christian faith interwoven throughout your entire college experience - from nationally-ranked programs in business and nursing to NCAA Div. I athletics. At Lipscomb, you will become part of an authentic Christian community prepared to invest in you so that you can further invest into the world around you. ","$43,200/ year
National avg salary is $33,028","94%
National is 83%","Best Christian Colleges in America:38 of 364,Best Colleges for Music in America:87 of 274,Best Colleges for Education in America:93 of 921"
694,Roanoke College,Salem,233426.0,VA,221 College Lane Salem Virginia 24153-3794,(540) 375-2500,www.roanoke.edu/,4-year Private not-for-profit,Bachelor's degree,Yes,1920 (all undergraduate),11 to 1,510-610,530-630,78%,,B+,"Academics : B+,Value : A-,Diversity : B+,Campus : B,Athletics : B-,Party Scene : B,Professors : A-,Location : B-,Dorms : B-,Campus Food : B+,Student Life : B+,Safety : B-","Business,Psychology,Biology,Communications,Kinesiology and Exercise Science,Sport and Fitness Management,History,Liberal Arts and Humanities,Environmental Science,Sociology","Roanoke College is liberal arts in action. Whether you're laser-focused on a career or still searching, you'll find Roanoke a place to explore many interests, and be certain you've found a passion to guide your life. Engaging classes will challenge you to improve your ability to think, create, communicate and lead-skills that will serve you and the world well. A strong mentoring culture, plus opportunities for research, internships, service work and study away, will help you deepen your passion, and with help from faculty, staff and alumni, prepare you to live what you truly love.","$44,700/ year
National avg salary is $33,028","95%
National is 83%","Best Colleges for Sports Management in America:63 of 435,Best Christian Colleges in America:73 of 364,Best Liberal Arts Colleges in America:100 of 210"
695,Goshen College,Goshen,150668.0,IN,1700 S Main St Goshen Indiana 46526-4794,(574) 535-7000,www.goshen.edu/,4-year Private not-for-profit,Bachelor's degreeMaster's degreeDoctor's degree,Yes,899 (827 undergraduate),10 to 1,,,,,B,"Academics : B,Value : B+,Diversity : B+,Campus : C,Athletics : B-,Party Scene : C+,Professors : B-,Location : B-,Dorms : B-,Campus Food : C+,Student Life : B-,Safety : B","Nursing,Accounting,Social Work and Youth Services,Biochemistry and Molecular Biology,Business,History,Liberal Arts and Humanities,Psychology,Environmental Science,Computer Science","Ranked by U.S. News and World Report as one of the Midwest's top colleges, Goshen College offers undergraduate and graduate programs in more than 65 areas of study. In addition to top-notch programs in nursing, pre-medicine, business, music and communication, GC is known for distinctive programs such as Criminal Justice & Restorative Justice, Environmental & Marine Science, Sign Language Interpreting and its nationally-recognized study abroad program.","$37,700/ year
National avg salary is $33,028","93%
National is 83%","Best Christian Colleges in America:159 of 364,Best Colleges for Public Policy in America:208 of 623,Best Colleges for History in America:300 of 899"
696,Lawrence Technological University,Southfield,170675.0,MI,21000 West Ten Mile Road Southfield Michigan 48075-1058,(248) 204-4000,www.ltu.edu/,4-year Private not-for-profit,One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarship,Yes,2812 (2138 undergraduate),11 to 1,,,,,B,"Academics : B,Value : A-,Diversity : A-,Campus : C+,Athletics : B,Party Scene : B-,Professors : B-,Location : B-,Dorms : B+,Campus Food : C,Student Life : B,Safety : A-","Mechanical Engineering,Architecture,Electrical Engineering,Computer Science,Bioengineering and Biomedical Engineering,Engineering Technician,Civil Engineering,Electrical Engineering Technician,Business,Digital Communication and Media/Multimedia","Lawrence Tech is a small, private university in Southfield, Michigan -- about 15 minutes northwest of downtown Detroit.  In colleges of Arts & Sciences, Architecture & Design, Business & IT, and Engineering, LTU students transform their passions into careers through experiential learning, undergraduate research, and co-ops and internships. This ""theory and practice"" approach to learning is why over 80% of LTU grads are employed or admitted to graduate school at commencement.","$55,300/ year
National avg salary is $33,028","93%
National is 83%","Best Colleges for Architecture in America:40 of 156,Best Colleges for Design in America:95 of 419,Most Conservative Colleges in America:107 of 854"
